"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 80","250.8500","239.6600","250.8500","232.8700","-","5.48%"
"Dec 79","237.8100","236.7100","239.6100","228.9200","-","0.71%"
"Nov 79","236.1300","215.0800","239.2400","215.0800","-","9.69%"
"Oct 79","215.2700","230.3200","230.3200","211.7000","-","-4.09%"
"Sep 79","224.4500","209.9800","224.4500","209.9800","-","4.99%"
"Aug 79","213.7800","192.0700","213.7800","189.2000","-","11.08%"
"Jul 79","192.4500","207.8800","215.8700","192.1800","-","-6.60%"
"Jun 79","206.0600","203.7900","216.0500","202.9600","-","0.00%"
"May 79","206.0500","219.3800","220.1700","204.1900","-","-6.33%"
"Apr 79","219.9700","209.0400","219.9700","206.8600","-","5.09%"
"Mar 79","209.3200","216.5700","216.5700","208.6100","-","-2.49%"
"Feb 79","214.6700","202.2600","214.6700","202.2600","-","5.10%"
"Jan 79","204.2600","193.6800","204.2600","193.6800","-","5.80%"
"Dec 78","193.0700","198.3000","199.2000","191.3500","-","-1.82%"
"Nov 78","196.6400","187.8100","198.9400","187.8100","-","2.30%"
"Oct 78","192.2100","194.4900","198.6400","186.9500","-","0.31%"
"Sep 78","191.6200","181.8000","191.7900","180.9000","-","6.58%"
"Aug 78","179.7900","172.7100","181.6600","171.8600","-","2.32%"
"Jul 78","175.7200","175.1800","177.3800","165.7400","-","0.58%"
"Jun 78","174.7000","192.4700","192.4700","171.1100","-","-10.63%"
