"Date","Price","Open","High","Low","Change %"
"Sep 07, 2014","1.8170","1.6860","1.8270","1.6610","7.45%"
"Aug 31, 2014","1.6910","1.6380","1.7430","1.6280","3.93%"
"Aug 24, 2014","1.6270","1.6680","1.6860","1.6130","-2.05%"
"Aug 17, 2014","1.6610","1.5560","1.6850","1.5430","8.00%"
"Aug 10, 2014","1.5380","1.6280","1.6460","1.4950","-5.06%"
"Aug 03, 2014","1.6200","1.6680","1.6940","1.5350","-2.64%"
"Jul 27, 2014","1.6640","1.6830","1.8070","1.6550","-0.72%"
"Jul 20, 2014","1.6760","1.6710","1.7180","1.6400","0.60%"
"Jul 13, 2014","1.6660","1.6450","1.7120","1.6120","1.59%"
"Jul 06, 2014","1.6400","1.7630","1.7700","1.6050","-5.75%"
"Jun 29, 2014","1.7400","1.6350","1.7830","1.6230","6.23%"
"Jun 22, 2014","1.6380","1.6920","1.7110","1.6160","-2.62%"
"Jun 15, 2014","1.6820","1.7010","1.7580","1.6450","-0.77%"
"Jun 08, 2014","1.6950","1.6490","1.7380","1.6450","2.79%"
"Jun 01, 2014","1.6490","1.5490","1.6710","1.5380","7.15%"
"May 25, 2014","1.5390","1.5360","1.5590","1.4650","0.65%"
"May 18, 2014","1.5290","1.5560","1.5560","1.4900","-1.61%"
"May 11, 2014","1.5540","1.6370","1.6730","1.5070","-4.55%"
"May 04, 2014","1.6280","1.6560","1.7040","1.6100","-2.28%"
"Apr 27, 2014","1.6660","1.7330","1.7690","1.6400","-3.42%"
"Apr 20, 2014","1.7250","1.7360","1.7790","1.6860","-0.35%"
"Apr 13, 2014","1.7310","1.5460","1.7410","1.5460","9.77%"
"Apr 06, 2014","1.5770","1.7010","1.7110","1.5480","-7.34%"
"Mar 30, 2014","1.7020","1.7580","1.8110","1.6960","-2.74%"
"Mar 23, 2014","1.7500","1.7270","1.7740","1.6620","2.34%"
"Mar 16, 2014","1.7100","1.5280","1.7480","1.5260","11.33%"
"Mar 09, 2014","1.5360","1.6400","1.6530","1.4850","-6.23%"
"Mar 02, 2014","1.6380","1.4560","1.6640","1.4490","8.98%"
"Feb 23, 2014","1.5030","1.5390","1.5660","1.4670","-2.08%"
"Feb 16, 2014","1.5350","1.5310","1.5740","1.4460","0.59%"
"Feb 09, 2014","1.5260","1.4690","1.5820","1.4460","3.88%"
"Feb 02, 2014","1.4690","1.5100","1.5440","1.4220","-1.54%"
"Jan 26, 2014","1.4920","1.5480","1.6110","1.4850","-3.31%"
"Jan 19, 2014","1.5430","1.6300","1.7070","1.4930","-5.16%"
"Jan 12, 2014","1.6270","1.6320","1.7000","1.5810","0.31%"
"Jan 05, 2014","1.6220","1.7500","1.7770","1.6170","-6.51%"
"Dec 29, 2013","1.7350","1.7370","1.8060","1.7020","-0.17%"
"Dec 22, 2013","1.7380","1.6770","1.7590","1.6700","3.64%"
"Dec 15, 2013","1.6770","1.5360","1.7140","1.4700","9.54%"
"Dec 08, 2013","1.5310","1.4970","1.5520","1.4440","2.82%"
"Dec 01, 2013","1.4890","1.3750","1.5450","1.3720","8.53%"
"Nov 24, 2013","1.3720","1.3580","1.3980","1.3010","1.70%"
"Nov 17, 2013","1.3490","1.3550","1.4080","1.3070","0.30%"
"Nov 10, 2013","1.3450","1.4250","1.4610","1.3250","-4.95%"
"Nov 03, 2013","1.4150","1.3600","1.4350","1.2700","3.06%"
"Oct 27, 2013","1.3730","1.2860","1.3830","1.2500","7.01%"
"Oct 20, 2013","1.2830","1.3400","1.3670","1.2540","-3.97%"
"Oct 13, 2013","1.3360","1.4550","1.4720","1.2900","-5.85%"
"Oct 06, 2013","1.4190","1.3930","1.4730","1.3670","0.57%"
"Sep 29, 2013","1.4110","1.3620","1.4370","1.3390","0.50%"
"Sep 22, 2013","1.4040","1.4820","1.5070","1.3800","-5.26%"
"Sep 15, 2013","1.4820","1.6980","1.6980","1.3850","-12.72%"
"Sep 08, 2013","1.6980","1.7630","1.7770","1.6610","-3.41%"
"Sep 01, 2013","1.7580","1.6980","1.8640","1.6520","6.80%"
"Aug 25, 2013","1.6460","1.6280","1.6730","1.5150","1.42%"
"Aug 18, 2013","1.6230","1.5780","1.7270","1.5350","3.97%"
"Aug 11, 2013","1.5610","1.3550","1.6110","1.3370","15.20%"
"Aug 04, 2013","1.3550","1.3600","1.4060","1.3440","-0.15%"
"Jul 28, 2013","1.3570","1.3620","1.5270","1.3510","-0.95%"
"Jul 21, 2013","1.3700","1.2950","1.4460","1.2750","5.71%"
"Jul 14, 2013","1.2960","1.4240","1.4600","1.2820","-8.99%"
"Jul 07, 2013","1.4240","1.6090","1.6340","1.3490","-11.50%"
"Jun 30, 2013","1.6090","1.4030","1.6140","1.3230","15.26%"
